"","tmin_mean","week_canton"
"1",24.8148014,"2020-1-507"
"2",25.7348017142857,"2020-2-507"
"3",26.1342074285714,"2020-3-507"
"4",24.2254755714286,"2020-4-507"
"5",24.8724065714286,"2020-5-507"
"6",25.2110671428571,"2020-6-507"
"7",25.8848555714286,"2020-7-507"
"8",26.8583101428571,"2020-8-507"
"9",26.0126818571429,"2020-9-507"
"10",26.1223552857143,"2020-10-507"
"11",26.6513125714286,"2020-11-507"
"12",26.6093772857143,"2020-12-507"
"13",26.000029,"2020-13-507"
"14",24.6232821428571,"2020-14-507"
"15",26.5315661428571,"2020-15-507"
"16",25.8549505714286,"2020-16-507"
"17",26.1419318571429,"2020-17-507"
"18",26.8199382857143,"2020-18-507"
"19",26.9412984285714,"2020-19-507"
"20",26.6171972857143,"2020-20-507"
"21",26.680888,"2020-21-507"
"22",27.8883928571429,"2020-22-507"
"23",26.756361,"2020-23-507"
"24",26.0867072857143,"2020-24-507"
"25",26.6721931428571,"2020-25-507"
"26",26.7713411428571,"2020-26-507"
"27",26.2743857142857,"2020-27-507"
"28",26.6796067142857,"2020-28-507"
"29",26.6656657142857,"2020-29-507"
"30",26.2488332857143,"2020-30-507"
"31",26.2869417142857,"2020-31-507"
"32",26.8021804285714,"2020-32-507"
"33",26.6005871428571,"2020-33-507"
"34",26.5282161428571,"2020-34-507"
"35",26.3751094285714,"2020-35-507"
"36",25.8853542857143,"2020-36-507"
"37",26.179013,"2020-37-507"
"38",25.830012,"2020-38-507"
"39",26.251224,"2020-39-507"
"40",25.6702058571429,"2020-40-507"
"41",26.0801898571429,"2020-41-507"
"42",26.162576,"2020-42-507"
"43",26.2977061428571,"2020-43-507"
"44",26.147739,"2020-44-507"
"45",25.9125004285714,"2020-45-507"
"46",25.0326357142857,"2020-46-507"
"47",25.2989608571429,"2020-47-507"
"48",24.797321,"2020-48-507"
"49",25.4945382857143,"2020-49-507"
"50",24.7270917142857,"2020-50-507"
"51",24.49855,"2020-51-507"
"52",24.5451478571429,"2020-52-507"
"53",23.9361421428571,"2021-1-507"
"54",24.6517197142857,"2021-2-507"
"55",24.3189234285714,"2021-3-507"
"56",24.4979414285714,"2021-4-507"
"57",25.0486904285714,"2021-5-507"
"58",24.2612674285714,"2021-6-507"
"59",24.6969412857143,"2021-7-507"
"60",25.8415957142857,"2021-8-507"
"61",24.8441098571429,"2021-9-507"
"62",26.2717617142857,"2021-10-507"
"63",25.2130751428571,"2021-11-507"
"64",25.5922775714286,"2021-12-507"
"65",27.2972135714286,"2021-13-507"
"66",25.7217108571429,"2021-14-507"
"67",27.1890285714286,"2021-15-507"
"68",26.4271844285714,"2021-16-507"
"69",26.3056542857143,"2021-17-507"
"70",25.9392901428571,"2021-18-507"
"71",26.6212947142857,"2021-19-507"
"72",25.9956032857143,"2021-20-507"
"73",27.018868,"2021-21-507"
"74",25.4129774285714,"2021-22-507"
"75",26.1666474285714,"2021-23-507"
"76",26.3287307142857,"2021-24-507"
"77",25.8792492857143,"2021-25-507"
"78",26.0944994285714,"2021-26-507"
"79",26.2373735714286,"2021-27-507"
"80",26.4482608571429,"2021-28-507"
"81",27.037137,"2021-29-507"
"82",26.1718635714286,"2021-30-507"
"83",26.6938055714286,"2021-31-507"
"84",25.9120928571429,"2021-32-507"
"85",25.961877,"2021-33-507"
"86",26.5330465714286,"2021-34-507"
"87",26.0112968571429,"2021-35-507"
"88",26.0195225714286,"2021-36-507"
"89",25.6283508571429,"2021-37-507"
"90",25.9528517142857,"2021-38-507"
"91",25.5921612857143,"2021-39-507"
"92",25.9272368571429,"2021-40-507"
"93",25.7856805714286,"2021-41-507"
"94",25.471238,"2021-42-507"
"95",25.7495055714286,"2021-43-507"
"96",24.9553671428571,"2021-44-507"
"97",24.3783822857143,"2021-45-507"
"98",24.5201121428571,"2021-46-507"
"99",24.2511641428571,"2021-47-507"
"100",25.5402638571429,"2021-48-507"
"101",24.656304,"2021-49-507"
"102",25.0766301428571,"2021-50-507"
"103",24.5562952857143,"2021-51-507"
"104",23.7751417142857,"2021-52-507"
"105",23.5628064285714,"2022-1-507"
"106",23.1500272857143,"2022-2-507"
"107",24.0107192857143,"2022-3-507"
"108",23.0221757142857,"2022-4-507"
"109",23.6400347142857,"2022-5-507"
"110",24.629345,"2022-6-507"
"111",25.5714774285714,"2022-7-507"
"112",24.9942015714286,"2022-8-507"
"113",25.6762554285714,"2022-9-507"
"114",25.275864,"2022-10-507"
"115",26.5182587142857,"2022-11-507"
